channel1,channel2
4.51,4.51
4.33,4.33
4.16,4.16
3.99,3.99
3.57,3.57
3.16,3.16
2.24,2.24
0.84,0.84
-1.3,-1.3
-3.43,-3.43
-4.28,-4.28
-4.37,-4.37
-3.47,-3.47
-2.82,-2.82
-2.42,-2.42
-2.78,-2.78
-3.89,-3.89
-5.23,-5.23
-7.07,-7.07
-8.88,-8.88
-10.18,-10.18
-10.46,-10.46
-10.24,-10.24
-9.52,-9.52
-8.8,-8.8
-8.34,-8.34
-8.13,-8.13
-7.93,-7.93
-7.97,-7.97
-7.76,-7.76
-7.8,-7.8
-8.85,-8.85
-10.88,-10.88
-12.64,-12.64
-13.63,-13.63
-13.61,-13.61
-13.09,-13.09
-12.57,-12.57
-12.56,-12.56
-11.79,-11.79
-10.78,-10.78
-9.77,-9.77
-9.53,-9.53
-10.03,-10.03
-11.28,-11.28
-12.52,-12.52
-13.24,-13.24
-12.95,-12.95
-12.16,-12.16
-11.38,-11.38
-10.86,-10.86
-10.09,-10.09
-9.32,-9.32
-7.56,-7.56
-5.81,-5.81
-4.58,-4.58
-4.36,-4.36
-5.64,-5.64
-7.41,-7.41
-9.41,-9.41
-10.64,-10.64
-11.11,-11.11
-10.33,-10.33
-8.79,-8.79
-7.53,-7.53
-6.77,-6.77
-7.27,-7.27
-8.51,-8.51
-9.98,-9.98
-11.45,-11.45
-12.4,-12.4
-12.59,-12.59
-11.77,-11.77
-9.71,-9.71
-6.67,-6.67
-3.15,-3.15
-0.67,-0.67
0.04,0.04
-1.5,-1.5
-4.54,-4.54
-8.29,-8.29
-12.25,-12.25
-15.18,-15.18
-16.08,-16.08
-14.97,-14.97
-12.12,-12.12
-8.79,-8.79
-5.49,-5.49
-3.72,-3.72
-3.21,-3.21
-3.96,-3.96
-5.96,-5.96
-8.18,-8.18
-10.38,-10.38
-12.06,-12.06
-12.48,-12.48
-11.13,-11.13
-8.05,-8.05
-4.49,-4.49
-1.22,-1.22
0.27,0.27
-0.25,-0.25
-2.76,-2.76
-5.75,-5.75
-8.46,-8.46
-10.65,-10.65
-12.07,-12.07
-12.97,-12.97
-12.61,-12.61
-11.75,-11.75
-10.65,-10.65
-9.8,-9.8
-9.72,-9.72
-10.13,-10.13
-11.04,-11.04
-11.43,-11.43
-11.57,-11.57
-11.71,-11.71
-11.6,-11.6
-11.23,-11.23
-10.87,-10.87
-10.51,-10.51
-10.65,-10.65
-11.29,-11.29
-11.91,-11.91
-12.54,-12.54
-12.9,-12.9
-12.76,-12.76
-11.87,-11.87
-10.73,-10.73
-10.36,-10.36
-9.98,-9.98
-10.36,-10.36
-10.48,-10.48
-10.1,-10.1
-9.22,-9.22
-8.35,-8.35
-7.23,-7.23
-6.37,-6.37
-6.03,-6.03
-6.68,-6.68
-7.83,-7.83
-8.96,-8.96
-10.08,-10.08
-11.2,-11.2
-12.29,-12.29
-13.63,-13.63
-14.2,-14.2
-14.27,-14.27
-13.58,-13.58
-12.4,-12.4
-11.22,-11.22
-10.06,-10.06
-9.4,-9.4
-9.25,-9.25
-9.35,-9.35
-8.95,-8.95
-8.29,-8.29
-7.65,-7.65
-6.76,-6.76
-6.12,-6.12
-5.99,-5.99
-6.11,-6.11
-6.98,-6.98
-8.09,-8.09
-8.94,-8.94
-8.53,-8.53
-7.37,-7.37
-5.97,-5.97
-4.83,-4.83
-4.2,-4.2
-4.33,-4.33
-4.71,-4.71
-5.58,-5.58
-5.94,-5.94
-6.05,-6.05
-5.9,-5.9
-5.51,-5.51
-5.37,-5.37
-5.23,-5.23
-5.34,-5.34
-5.2,-5.2
-4.81,-4.81
-4.42,-4.42
-4.04,-4.04
-3.9,-3.9
-4.27,-4.27
-4.64,-4.64
-4.5,-4.5
-3.61,-3.61
-2.48,-2.48
-1.36,-1.36
-0.75,-0.75
-0.64,-0.64
-0.79,-0.79
-0.93,-0.93
-0.57,-0.57
-0.47,-0.47
-0.11,-0.11
0.24,0.24
0.59,0.59
1.18,1.18
1.52,1.52
1.85,1.85
1.94,1.94
1.77,1.77
1.85,1.85
1.93,1.93
1.51,1.51
0.59,0.59
-0.81,-0.81
-1.71,-1.71
-1.85,-1.85
-0.48,-0.48
0.87,0.87
1.71,1.71
1.29,1.29
-0.62,-0.62
-3.02,-3.02
-5.39,-5.39
-6.74,-6.74
-6.08,-6.08
-3.93,-3.93
-0.54,-0.54
2.82,2.82
5.39,5.39
7.19,7.19
7.23,7.23
5.76,5.76
2.55,2.55
-0.62,-0.62
-2.27,-2.27
-1.9,-1.9
0.46,0.46
3.56,3.56
6.37,6.37
8.16,8.16
8.18,8.18
7.2,7.2
5.97,5.97
4.76,4.76
3.81,3.81
2.86,2.86
2.43,2.43
2.49,2.49
3.56,3.56
5.37,5.37
7.15,7.15
9.17,9.17
11.43,11.43
13.16,13.16
14.37,14.37
15.07,15.07
15.76,15.76
16.69,16.69
18.36,18.36
20.01,20.01
21.64,21.64
22.01,22.01
21.87,21.87
20.97,20.97
19.58,19.58
18.21,18.21
16.59,16.59
14.73,14.73
13.14,13.14
11.56,11.56
10.74,10.74
10.18,10.18
9.88,9.88
9.82,9.82
10.26,10.26
10.7,10.7
11.13,11.13
10.81,10.81
10.23,10.23
9.42,9.42
8.1,8.1
7.3,7.3
7.01,7.01
6.96,6.96
7.17,7.17
7.12,7.12
6.57,6.57
4.78,4.78
1.75,1.75
-2.0,-2.0
-5.47,-5.47
-7.4,-7.4
-7.07,-7.07
-5.48,-5.48
-3.42,-3.42
-1.37,-1.37
-0.33,-0.33
0.19,0.19
-0.29,-0.29
-2.02,-2.02
-3.98,-3.98
-5.17,-5.17
-4.86,-4.86
-3.29,-3.29
-0.74,-0.74
2.29,2.29
5.54,5.54
9.27,9.27
12.7,12.7
14.6,14.6
14.99,14.99
14.11,14.11
12.75,12.75
11.39,11.39
10.79,10.79
10.7,10.7
11.11,11.11
11.26,11.26
11.16,11.16
10.81,10.81
9.96,9.96
8.61,8.61
6.78,6.78
4.96,4.96
3.91,3.91
3.37,3.37
3.33,3.33
4.04,4.04
4.74,4.74
5.44,5.44
5.88,5.88
5.57,5.57
4.0,4.0
1.96,1.96
-0.08,-0.08
-1.34,-1.34
-2.34,-2.34
-3.33,-3.33
-4.31,-4.31
-5.28,-5.28
-5.25,-5.25
-4.46,-4.46
-2.93,-2.93
-1.91,-1.91
-1.4,-1.4
-1.64,-1.64
-1.89,-1.89
-1.88,-1.88
-1.37,-1.37
-0.86,-0.86
-0.61,-0.61
-0.86,-0.86
-1.11,-1.11
-1.11,-1.11
-0.6,-0.6
-0.1,-0.1
0.39,0.39
0.88,0.88
1.12,1.12
0.85,0.85
0.34,0.34
0.08,0.08
-0.18,-0.18
-0.44,-0.44
-0.44,-0.44
-0.44,-0.44
-0.19,-0.19
0.3,0.3
0.79,0.79
1.28,1.28
1.26,1.26
1.24,1.24
1.22,1.22
1.46,1.46
1.68,1.68
2.16,2.16
2.38,2.38
2.35,2.35
1.82,1.82
1.55,1.55
1.77,1.77
2.75,2.75
4.21,4.21
5.91,5.91
6.85,6.85
6.77,6.77
5.95,5.95
4.88,4.88
3.82,3.82
2.52,2.52
0.98,0.98
-0.8,-0.8
-2.56,-2.56
-3.05,-3.05
-1.79,-1.79
0.21,0.21
2.45,2.45
4.16,4.16
5.11,5.11
5.04,5.04
4.48,4.48
3.17,3.17
1.87,1.87
0.33,0.33
-0.94,-0.94
-1.2,-1.2
-0.21,-0.21
2.78,2.78
6.98,6.98
11.15,11.15
13.77,13.77
14.88,14.88
14.21,14.21
12.8,12.8
11.16,11.16
9.52,9.52
8.4,8.4
7.04,7.04
5.69,5.69
4.35,4.35
2.77,2.77
1.71,1.71
1.16,1.16
1.36,1.36
2.06,2.06
2.5,2.5
1.94,1.94
0.13,0.13
-2.16,-2.16
-4.43,-4.43
-6.43,-6.43
-8.66,-8.66
-11.36,-11.36
-14.54,-14.54
-18.19,-18.19
-21.56,-21.56
-23.14,-23.14
-23.2,-23.2
-21.51,-21.51
-19.32,-19.32
-17.41,-17.41
-16.51,-16.51
-17.12,-17.12
-18.72,-18.72
-20.3,-20.3
-21.62,-21.62
-21.66,-21.66
-20.21,-20.21
-17.51,-17.51
-14.34,-14.34
-11.45,-11.45
-9.07,-9.07
-7.97,-7.97
-7.63,-7.63
-7.79,-7.79
-7.7,-7.7
-7.11,-7.11
-6.77,-6.77
-6.68,-6.68
-6.59,-6.59
-6.26,-6.26
-5.42,-5.42
-3.84,-3.84
-2.53,-2.53
-1.73,-1.73
-0.93,-0.93
-0.64,-0.64
-0.11,-0.11
-0.33,-0.33
-1.29,-1.29
-2.5,-2.5
-3.45,-3.45
-3.13,-3.13
-1.82,-1.82
-0.78,-0.78
-0.74,-0.74
-2.2,-2.2
-4.64,-4.64
-7.57,-7.57
-9.71,-9.71
-10.84,-10.84
-10.7,-10.7
-9.32,-9.32
-6.94,-6.94
-4.59,-4.59
-2.25,-2.25
-1.19,-1.19
-0.63,-0.63
-0.84,-0.84
-1.29,-1.29
-1.98,-1.98
-2.42,-2.42
-2.6,-2.6
-1.79,-1.79
-0.22,-0.22
2.07,2.07
3.85,3.85
4.86,4.86
5.35,5.35
5.35,5.35
5.34,5.34
5.58,5.58
5.82,5.82
6.81,6.81
8.03,8.03
9.5,9.5
10.94,10.94
11.13,11.13
10.06,10.06
8.0,8.0
5.45,5.45
3.93,3.93
3.42,3.42
3.67,3.67
4.41,4.41
5.15,5.15
4.87,4.87
3.85,3.85
2.09,2.09
0.35,0.35
-0.63,-0.63
0.15,0.15
2.17,2.17
4.92,4.92
7.9,7.9
10.1,10.1
10.78,10.78
9.95,9.95
7.87,7.87
5.07,5.07
3.04,3.04
2.02,2.02
2.02,2.02
3.01,3.01
3.75,3.75
4.48,4.48
5.2,5.2
5.66,5.66
5.87,5.87
5.82,5.82
5.78,5.78
5.48,5.48
5.19,5.19
4.9,4.9
4.61,4.61
4.32,4.32
4.04,4.04
3.75,3.75
3.47,3.47
3.19,3.19
3.16,3.16
2.64,2.64
2.36,2.36
2.59,2.59
2.57,2.57
2.54,2.54
2.27,2.27
1.75,1.75
1.73,1.73
2.21,2.21
