channel1,channel2
127.85,127.85
129.63,129.63
131.26,131.26
132.72,132.72
134.27,134.27
135.79,135.79
137.28,137.28
138.59,138.59
140.02,140.02
141.28,141.28
142.62,142.62
143.81,143.81
144.84,144.84
145.86,145.86
146.7,146.7
147.52,147.52
148.3,148.3
148.94,148.94
149.66,149.66
150.36,150.36
151.02,151.02
151.56,151.56
152.16,152.16
152.5,152.5
152.94,152.94
153.34,153.34
153.59,153.59
153.81,153.81
154.16,154.16
154.44,154.44
154.72,154.72
154.84,154.84
154.84,154.84
154.66,154.66
154.34,154.34
154.12,154.12
153.87,153.87
153.62,153.62
153.47,153.47
153.31,153.31
152.97,152.97
152.66,152.66
152.28,152.28
151.91,151.91
151.37,151.37
150.97,150.97
150.37,150.37
149.81,149.81
149.22,149.22
148.59,148.59
147.97,147.97
147.31,147.31
146.59,146.59
145.84,145.84
145.09,145.09
144.25,144.25
143.47,143.47
142.59,142.59
141.72,141.72
140.84,140.84
139.94,139.94
139.06,139.06
138.16,138.16
137.19,137.19
136.19,136.19
135.16,135.16
134.12,134.12
133.06,133.06
132.0,132.0
130.81,130.81
129.53,129.53
128.25,128.25
126.97,126.97
125.69,125.69
124.44,124.44
123.28,123.28
122.09,122.09
120.81,120.81
119.56,119.56
118.28,118.28
117.0,117.0
115.66,115.66
114.31,114.31
113.0,113.0
111.66,111.66
110.28,110.28
108.91,108.91
107.53,107.53
106.16,106.16
104.78,104.78
103.31,103.31
101.94,101.94
100.47,100.47
99.09,99.09
97.69,97.69
96.37,96.37
95.09,95.09
93.75,93.75
92.28,92.28
90.69,90.69
89.03,89.03
87.37,87.37
85.81,85.81
84.28,84.28
82.81,82.81
81.34,81.34
79.91,79.91
78.44,78.44
76.97,76.97
75.47,75.47
73.94,73.94
72.44,72.44
70.94,70.94
69.5,69.5
68.06,68.06
66.69,66.69
65.25,65.25
63.69,63.69
62.09,62.09
60.53,60.53
58.94,58.94
57.44,57.44
55.97,55.97
54.5,54.5
53.09,53.09
51.63,51.63
50.16,50.16
48.72,48.72
47.25,47.25
45.78,45.78
44.31,44.31
42.88,42.88
41.44,41.44
47.53,47.53
84.69,84.69
173.06,173.06
308.09,308.09
474.31,474.31
653.92,653.92
817.47,817.47
931.94,931.94
980.03,980.03
966.91,966.91
914.36,914.36
848.44,848.44
789.16,789.16
745.62,745.62
717.16,717.16
697.44,697.44
679.41,679.41
658.33,658.33
632.74,632.74
603.79,603.79
573.7,573.7
544.49,544.49
517.15,517.15
491.76,491.76
467.81,467.81
444.51,444.51
421.36,421.36
398.16,398.16
374.99,374.99
351.98,351.98
329.48,329.48
307.47,307.47
286.11,286.11
265.22,265.22
244.8,244.8
224.77,224.77
205.06,205.06
185.69,185.69
166.72,166.72
148.16,148.16
129.94,129.94
112.16,112.16
94.72,94.72
77.69,77.69
61.03,61.03
44.75,44.75
28.81,28.81
13.19,13.19
-2.06,-2.06
-16.94,-16.94
-31.5,-31.5
-45.75,-45.75
-59.63,-59.63
-73.12,-73.12
-86.31,-86.31
-99.31,-99.31
-111.75,-111.75
-124.0,-124.0
-136.0,-136.0
-147.56,-147.56
-158.94,-158.94
-169.94,-169.94
-180.62,-180.62
-191.12,-191.12
-201.31,-201.31
-211.19,-211.19
-220.62,-220.62
-230.0,-230.0
-239.0,-239.0
-247.75,-247.75
-256.25,-256.25
-264.37,-264.37
-272.37,-272.37
